"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,sector,sub_sector,sub_sector_category,food_type,food_category,tons_supply,tons_surplus,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2019,Foodservice,Bars And Taverns,Bars And Taverns,Frozen,Not Applicable,142.49298,2.614662351,12358.59032,2.208537466,2.548890322,0.065772029,0.065772029,0,0.008832534,0.000663069,0.330857255,0,0.226523142,0,1.982014324,0,0,19.98872127,0.430434564,20.41915583,430805.7624,4248.150537
2019,Foodservice,Bars And Taverns,Bars And Taverns,Prepared Foods,Not Applicable,0,28547.46297,366208718.5,24548.9764,28274.67956,152993.0269,272.7834109,0,84.07756339,342.9989118,3298.626695,0,2515.383267,0,22033.59313,0,0,131605.7683,3614.148528,135219.9168,6784520788,47124465.95
2019,Foodservice,Bars And Taverns,Bars And Taverns,Produce,Not Applicable,50192.02707,920.9941672,4353215.853,777.9398835,897.8264894,23.16767778,23.16767778,0,3.111190343,0.233560771,116.5418555,0,79.79098823,0,698.1488952,0,0,921.2265886,42.46152367,963.6881122,36496883.45,1496377.483
2019,Foodservice,Bars And Taverns,Bars And Taverns,Ready-to-drink Beverages,Not Applicable,21588.83817,396.1424791,1872426.321,334.6112766,386.1774851,9.964993957,9.964993957,0,1.338200283,0.100460292,50.12754824,0,34.32008693,0,300.2911896,0,0,1272.950029,51.3263514,1324.27638,6346225.057,643629.142
2019,Foodservice,Business & Industry,Business & Industry,Breads & Bakery,Not Applicable,150042.9824,3848.589532,17757397.28,3135.911341,3747.982432,100.6071003,100.6071003,0,15.79362104,1.011993287,595.2654788,0,387.2192867,0,2748.692054,0,0,8521.621325,916.8102929,9438.431618,72637589.32,6246637.388
2019,Foodservice,Business & Industry,Business & Industry,Dairy & Eggs,Not Applicable,224181.7566,5750.242682,26531627.47,4685.418149,5599.923913,150.3187693,150.3187693,0,23.5975162,1.512036279,889.3962152,0,578.5508824,0,4106.867267,0,0,25381.0796,444.3392535,25825.41886,1408141611,9333206.524
2019,Foodservice,Business & Industry,Business & Industry,Dry Goods,Not Applicable,492977.6315,12644.83364,58343279.44,10303.27524,12314.28136,330.5522804,330.5522804,0,51.89114325,3.324980921,1955.790008,0,1272.23842,0,9031.036819,0,0,34381.97839,1845.082843,36227.06123,1191511794,20523802.28
2019,Foodservice,Business & Industry,Business & Industry,Fresh Meat & Seafood,Not Applicable,383359.449,9833.136735,45370106.12,8012.245719,9576.085842,257.0508923,257.0508923,0,40.3526627,2.585640346,1520.901826,0,989.3443197,0,7022.9014,0,0,112038.1415,1152.020156,113190.1617,11867054751,15960143.07
2019,Foodservice,Business & Industry,Business & Industry,Frozen,Not Applicable,22650.85671,580.9925171,2680700.255,473.404869,565.8046224,15.18789466,15.18789466,0,2.384243777,0.152772989,89.86273698,0,58.45557344,0,414.9492956,0,0,4437.111629,85.60140145,4522.713031,95630592.52,943007.7042
2019,Foodservice,Business & Industry,Business & Industry,Prepared Foods,Not Applicable,0,258862.0201,2306089841,213831.2211,258097.5147,1484706.489,764.5054947,0,120.0144924,4963.336967,39182.94207,0,26250.23661,0,187580.9845,0,0,1201326.496,26787.85976,1228114.355,61930602942,430162524.5
2019,Foodservice,Business & Industry,Business & Industry,Produce,Not Applicable,311757.3328,7996.548644,36896086.2,6515.755284,7787.508536,209.0401079,209.0401079,0,32.8157778,2.102706325,1236.834772,0,804.5591342,0,5711.19615,0,0,7990.474781,303.7026454,8294.177426,316564274.7,12979180.9
2019,Foodservice,Business & Industry,Business & Industry,Ready-to-drink Beverages,Not Applicable,203713.5744,5225.235577,24109243.98,4257.631365,5088.641171,136.5944056,136.5944056,0,21.44302214,1.373984751,808.1928019,0,525.7281858,0,3731.90318,0,0,16773.59809,582.9039987,17356.50209,83623886.29,8481068.62
2019,Foodservice,Caterers,Caterers,Breads & Bakery,Not Applicable,61915.17821,1136.107094,5241999.658,886.7968224,1105.121809,30.98528442,30.98528442,0,5.608522516,0.31094028,212.4055245,0,123.4251894,0,763.3716331,0,0,2512.666413,236.4606269,2749.12704,21417758.91,1841869.682
2019,Foodservice,Caterers,Caterers,Dairy & Eggs,Not Applicable,92508.51448,1697.476815,7832160.307,1324.978124,1651.181178,46.29563728,46.29563728,0,8.379788307,0.464581129,317.358685,0,184.411662,0,1140.566462,0,0,7483.808987,108.6580256,7592.467012,415201520.5,2751968.63
2019,Foodservice,Caterers,Caterers,Dry Goods,Not Applicable,203427.0275,3732.766272,17222988.6,2913.638413,3630.961763,101.8045088,101.8045088,0,18.42722733,1.021617941,697.874507,0,405.5228478,0,2508.115565,0,0,10137.79409,467.9077928,10605.70188,351326531.8,6051602.939
2019,Foodservice,Caterers,Caterers,Fresh Meat & Seafood,Not Applicable,158193.1272,2902.750814,13393296.16,2265.763688,2823.583489,79.16732505,79.16732505,0,14.32976116,0.794451646,542.6955897,0,315.3510535,0,1950.412634,0,0,33035.31858,289.7866792,33325.10526,3499093513,4705972.482
2019,Foodservice,Caterers,Caterers,Frozen,Not Applicable,9346.867193,171.5095139,791345.1279,133.8730238,166.8318994,4.677614549,4.677614549,0,0.846676318,0.046940307,32.06525905,0,18.63256937,0,115.2404544,0,0,1308.31692,22.47028498,1330.787205,28197424.97,278053.1657
2019,Foodservice,Caterers,Caterers,Prepared Foods,Not Applicable,0,283665.2719,3903777004,229832.3454,272646.3917,451909.4987,11018.88021,0,4849.194506,1803.965647,36160.88609,0,32218.66552,0,197613.6799,0,0,1269044.898,32461.99529,1301506.894,65421611857,454410652.9
2019,Foodservice,Caterers,Caterers,Produce,Not Applicable,128646.5419,2360.588356,10891757.85,1842.574758,2296.20754,64.38081589,64.38081589,0,11.65331422,0.646067618,441.3334014,0,256.451233,0,1586.123526,0,0,2356.053718,67.22128523,2423.275004,93341441.76,3827012.568
